EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
73	10:48:27	2	0.0125	0.3927177916559661	0.4289368689060211		0.8062
74	10:52:06	3	0.0125	0.39061872989369223	0.42824631929397583		0.8073
75	10:55:44	0	0.0125	0.3918015312003358	0.4269985556602478		0.8078
76	10:59:25	1	0.0125	0.3898054257543676	0.4266802668571472		0.8071
77	11:03:03	2	0.0125	0.38937149319191233	0.42718055844306946		0.8066
78	11:06:41	3	0.0125	0.38910131582630725	0.4259609580039978		0.8063
79	11:10:16	4	0.0125	0.38991567823129086	0.4318331480026245		0.805
80	11:13:55	5	0.0125	0.38824671233733565	0.4304296374320984		0.8074
81	11:17:32	6	0.0125	0.3879880164290337	0.42794573307037354		0.8058
82	11:21:06	1	0.0063	0.38309250573749426	0.4297472834587097		0.8075
